,costituency,name,party,twitter_id
0,Portsmouth North,Penny Mordaunt MP,Conservative,@PennyMordauntMP
0,Waveney,Peter Aldous MP,Conservative,@peter_aldous
0,Wellingborough,Peter Bone MP,Conservative,@PeterBoneMP
0,Mid Worcestershire,Peter Luff MP,Conservative,@PeterJLuff
0,Shipley,Philip Davies,Conservative,@PhilipDavies422
0,Shipley,Philip Davies,Conservative,@PhilipDaviesMP
0,Newbury,Richard Benyon,Conservative,@RichardBenyonMP
0,Watford,Richard Harrington,Conservative,@Richard4Watford
0,Reading East,Rob Wilson,Conservative,@RobWilson_RDG
0,Harlow,Robert Halfon MP,Conservative,@halfon4harlowMP
0,Penrith and The Border,Rory Stewart,Conservative,@RoryStewartUK
0,East Surrey,Sam Gyimah MP,Conservative,@SamGyimah
0,Totnes,Sarah Wollaston MP,Conservative,@sarahwollaston
0,South East Cornwall,Sheryll Murray MP,Conservative,@sheryllmurray
0,"Brighton, Kemptown",Simon Kirby MP,Conservative,@simonkirby4mp
0,Dewsbury,Simon Reevell,Conservative,@simonreevell
0,Banbury,Sir Tony Baldry MP,Conservative,@TonyBaldry
0,Preseli Pembrokeshire,Stephen Crabb MP,Conservative,@SCrabb2015
0,Wimbledon,Stephen Hammond MP,Conservative,@S_Hammond
0,Stevenage,Stephen McPartland,Conservative,@SMcPartland2015
0,City of Chester,Stephen Mosley MP,Conservative,@stephen_mosley
0,Wycombe,Steve Baker MP,Conservative,@SteveBakerHW
0,North East Cambridgeshire,Steve Barclay,Conservative,@SteveNECambs
0,Winchester,Steve Brine,Conservative,@sbrine
0,Peterborough,Stewart Jackson MP,Conservative,@Stewart4Pboro
0,Pudsey,Stuart Andrew MP,Conservative,@StuartAndrew
0,Suffolk Coastal,Therese Coffey,Conservative,@theresecoffey
0,East Worthing and Shoreham,Tim Loughton MP,Conservative,@timloughton
0,Bournemouth East,Tobias Ellwood,Conservative,@Tobias_Ellwood
0,Chatham and Aylesford,Tracey Crouch,Conservative,@tracey_crouch
0,Richmond (Yorks),William Hague,Conservative,@WilliamJHague
0,Richmond Park,Zac Goldsmith,Conservative,@ZacGoldsmith
0,Westbury,andrew murrison,Conservative,@murrisonMP
0,Gosport,caroline dinenage mp,Conservative,@cj_dinenage
0,Stourbridge,margot james,Conservative,@margotjames2015
0,Blackpool North and Cleveleys,paulcmaynard,Conservative,@PaulMaynardBNC
